Title,Author,Year,Screening Status
Autoimmune haemolytic anaemia: pattern of presentation and management outcome in a Nigerian population: a ten-year experience.,"Salawu, L",2002,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Screening for paroxysmal nocturnal hemoglobinuria (PNH) clone in Egyptian children with aplastic anemia.,"Rizk, S",2002,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
[Severe malaria in expatriates in an intensive care unit in Abidjan (Ivory Coast)].,"Kouamé, K",2002,Excluded: Studies focusing on adults or non-pediatric populations.
Acute haemolysis in childhood falciparum malaria.,"Ekvall, H",2001,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Resurgence of blackwater fever in long-term European expatriates in Africa: report of 21 cases and review.,"Bruneel, F",2001,Excluded: Studies focusing on adults or non-pediatric populations.
[Blackwater fever in adults with sickle cell anemia. Two fatal cases].,"Djibo, A",2000,Excluded: Studies focusing on adults or non-pediatric populations.
"[Severe forms of malaria in children in a general hospital pediatric department in Yaounde, Cameroon].","Tchokoteu, P F",1999,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"Malaria prevalence and outcome in the in-patients of the Paediatric Department of the State Specialists Hospital (SSH), Maiduguri, Nigeria.","Gellert, S",1998,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"An etiologic study of hemoglobinuria and blackwater fever in the Kivu Mountains, Zaire.","Delacollette, C",1995,Excluded: Full text article not available
Paroxysmal cold haemoglobinuria coexisting with cold agglutinins in a patient with syphilis resulting in peripheral gangrene: a case report.,"Patel, M",1993,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Quantitative analysis of 1-naphthol in urine of neonates exposed to mothballs: the value in infants with unexplained anaemia.,"Owa, J A",1993,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
Halofantrine and acute intravascular haemolysis.,"Vachon, F",1992,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
[Severe malaria].,"Rogeaux, O",1992,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
"[Chepkono, in the heart of a paradise].","van Reen, T",1991,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Bilateral hydronephrosis from uretero-pelvic (U-P) obstruction: some clinico-pathological aspects.,"Ihezue, C",1991,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
"Studies on human erythrocyte glutathione-S-transferase from HbAA, HbAS and HbSS subjects.","Anosike, E O",1991,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
A review of typhoid fever in South African black children.,"Ellis, M E",1990,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
[Severe forms of imported malaria concerning three pernicious attacks and a black water fever (hemoglobinuria) (author's transl)].,"Baumelou, A",1979,"Excluded: Editorials, commentaries, and opinion pieces without original data."
Acute renal failure in tropical Africa.,"Adu, D",1976,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Acute renal failure and typhoid fever.,"Adu, D",1975,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Glucose-6-phosphate dehydrogenase deficiency and intravascular haemolysis.,"Onadeko, B O",1974,"Excluded: Studies that did not provide sufficient data to extract relevant information on population, prevalence, risk factors, clinical features, or outcomes."
Paroxysmal cold hemoglobinuria (P.C.H.) following mycoplasma infection: anti-I specificity of the biphasic hemolysin.,"Bell, C A",1973,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Cerebral dehydration action of glycerol. I. Historical aspects with emphasis on the toxicity and intravenous administration.,"Tourtellotte, W W",1972,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Haemoglobinuria due to typhoid and paratyphoid fever.,"Gelfand, M",1972,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Experience with urea in invert sugar for the treatment of cerebral malaria.,"Kingston, M E",1971,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
Haemoglobinuria in Nigerian children.,"Ahmed, I",1971,Excluded: Studies focusing exclusively on other malaria complications without specific mention of blackwater fever.
Typhoid fever in African and Indian children in Durban.,"Scragg, J",1969,"Excluded: Studies not addressing blackwater fever or its related aspects, such as epidemiology, clinical features, risk factors, or management."
